Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,inp_force_opt
1,43.75,-280.87,-8.777187,0.984606,-0.049305,-0.061415,43.75,5.5951,32,2
0,0,7752.16,646.013333,2.748558,2.621692,1.050393,0,2.7594,12,1
