Indicator,Res_IS,Res_OOS,PF_IS,PF_OOS,Trades_IS,Trades_OOS,Res_dif,Res_mean,PF_dif,Trades_dif
mfi,41.94,43.75,0.765961,0.984606,31.0,32.0,4.14,42.845,22.21,3.12
obv,42.86,43.18,0.720855,0.946989,42.0,44.0,0.74,43.019999999999996,23.88,4.55
force,40.58,40.0,0.7109,0.836299,69.0,45.0,1.45,40.29,14.99,53.33
accumulation_dist,36.59,39.53,0.566543,0.800041,41.0,43.0,7.44,38.06,29.19,4.65
