Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,inp_force_opt
1,40.00,-4455.35,-99.007778,0.836299,-0.547613,-0.739799,40,8.0256,45,2
0,40.00,-4455.35,-99.007778,0.836299,-0.547613,-0.739799,40,8.0256,45,1
