Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,inp_force_opt
1,56.76,-10019.65,-135.400676,0.839897,-0.708385,-0.702436,56.756756756756758,13.6705,74,2
0,56.76,-10019.65,-135.400676,0.839897,-0.708385,-0.702436,56.756756756756758,13.6705,74,1
