Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpPeriod
124,47.37,-30867.08,-406.145789,0.542531,-0.857048,-2.193790,47.368421052631575,35.2349,76,125
112,47.37,-31026.35,-408.241447,0.545821,-0.878137,-2.255378,47.368421052631575,34.5661,76,113
135,47.14,-28312.33,-404.461857,0.556359,-0.847620,-2.130950,47.142857142857139,32.7193,70,136
143,46.88,-26712.31,-417.379844,0.557131,-0.854661,-2.056075,46.875,30.3538,64,144
142,46.88,-26712.31,-417.379844,0.557131,-0.854661,-2.056075,46.875,30.3538,64,143
123,46.75,-32291.00,-419.363636,0.526920,-0.863926,-2.298382,46.753246753246749,36.5668,77,124
122,46.67,-31730.70,-423.076000,0.529844,-0.880991,-2.292254,46.666666666666664,35.2363,75,123
121,46.67,-31697.96,-422.639467,0.530102,-0.880883,-2.278329,46.666666666666664,35.2043,75,122
146,46.03,-27490.95,-436.364286,0.538333,-0.834034,-2.212563,46.031746031746032,32.0111,63,147
145,46.03,-27574.74,-437.694286,0.537624,-0.834455,-2.187951,46.031746031746032,32.0925,63,146
193,45.61,-25886.22,-454.144211,0.537824,-0.793056,-2.730731,45.614035087719294,31.4661,57,194
192,45.61,-25734.27,-451.478421,0.539315,-0.791992,-2.643123,45.614035087719294,31.3234,57,193
149,45.45,-29541.08,-447.592121,0.528907,-0.862427,-2.270112,45.454545454545453,33.1913,66,150
147,45.31,-28910.54,-451.727188,0.525997,-0.865451,-2.280064,45.3125,32.4421,64,148
134,45.07,-32100.11,-452.114225,0.509437,-0.883479,-2.435466,45.070422535211272,35.8356,71,135
133,45.07,-32100.11,-452.114225,0.509437,-0.883479,-2.435466,45.070422535211272,35.8356,71,134
194,44.83,-27348.11,-471.519138,0.523681,-0.803344,-2.920925,44.827586206896555,32.8173,58,195
189,44.83,-26985.29,-465.263621,0.526725,-0.780490,-2.871626,44.827586206896555,33.3302,58,190
127,44.74,-35042.43,-461.084605,0.491880,-0.875858,-2.511558,44.736842105263158,39.1420,76,128
126,44.74,-35042.43,-461.084605,0.491880,-0.875858,-2.511558,44.736842105263158,39.1420,76,127
191,44.64,-26595.07,-474.911964,0.520908,-0.798077,-2.810954,44.642857142857146,32.1243,56,192
148,44.62,-30364.83,-467.151231,0.510324,-0.871748,-2.389113,44.61538461538462,33.8279,65,149
152,44.44,-29888.91,-474.427143,0.501459,-0.917892,-2.396091,44.444444444444443,32.1866,63,153
190,43.86,-27892.19,-489.336667,0.510790,-0.806720,-3.030157,43.859649122807014,33.3302,57,191
188,43.86,-27900.68,-489.485614,0.505195,-0.816651,-2.993705,43.859649122807014,33.3443,57,189
151,43.75,-31218.16,-487.783750,0.486859,-0.921857,-2.452496,43.75,33.4734,64,152
150,43.75,-31218.16,-487.783750,0.486859,-0.921857,-2.452496,43.75,33.4734,64,151
153,43.55,-30856.28,-497.681935,0.480668,-0.920825,-2.476421,43.548387096774192,33.1225,62,154
128,43.24,-36159.21,-488.637973,0.471205,-0.885932,-2.634481,43.243243243243242,39.9301,74,129
154,43.10,-29957.16,-516.502759,0.460493,-0.857890,-2.517138,43.103448275862064,34.5164,58,155
132,43.06,-35691.58,-495.716389,0.469047,-0.897476,-2.712930,43.055555555555557,39.2236,72,133
187,42.86,-28836.28,-514.933571,0.488574,-0.844036,-3.162083,42.857142857142854,33.3443,56,188
183,42.59,-28304.80,-524.162963,0.478579,-0.857402,-3.151672,42.592592592592595,32.4225,54,184
