Indicator,Res_IS,Res_OOS,PF_IS,PF_OOS,Trades_IS,Trades_OOS,Res_dif,Res_mean,PF_dif,Trades_dif
adx,64.38,56.76,1.093121,0.839897,73.0,74.0,13.42,60.56999999999999,30.15,1.35
rsi,64.58,52.11,1.126588,0.684119,96.0,71.0,23.93,58.345,64.68,35.21
macd,81.82,40.91,2.735884,0.419518,22.0,22.0,100.0,61.364999999999995,552.15,0.0
cci,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
