Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,inp_force_opt
1,52.11,-19978.88,-281.392676,0.684119,-0.685443,-1.509533,52.112676056338024,27.5391,71,2
0,52.11,-19978.88,-281.392676,0.684119,-0.685443,-1.509533,52.112676056338024,27.5391,71,1
