Indicator,Res_IS,Res_OOS,PF_IS,PF_OOS,Trades_IS,Trades_OOS,Res_dif,Res_mean,PF_dif,Trades_dif
rsi,59.88,60.8,0.940478,0.978853,167.0,176.0,1.51,60.34,3.92,5.11
cci,61.33,60.42,0.999163,0.963288,181.0,192.0,1.51,60.875,3.72,5.73
macd,62.07,59.88,1.023888,0.944214,145.0,167.0,3.66,60.975,8.44,13.17
adx,57.8,59.19,0.858098,0.916303,218.0,223.0,2.35,58.495,6.35,2.24
