Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpPeriod
14,-0.54,-5806.17,-69.121071,0.888849,-0.349136,-0.538198,0,16.0683,84,39
94,-0.56,-4003.50,-83.406250,0.881997,-0.342136,-0.557356,0,10.9177,48,201
72,-0.65,-7013.14,-83.489762,0.867162,-0.430575,-0.645543,0,15.9008,84,38
107,-0.67,-4691.59,-97.741458,0.851557,-0.437981,-0.673999,0,10.5652,48,117
73,-0.68,-5043.52,-90.062857,0.851736,-0.386630,-0.676084,0,12.9040,56,86
41,-0.68,-4879.01,-97.580200,0.859083,-0.421251,-0.682620,0,10.9064,50,199
58,-0.70,-5076.03,-105.750625,0.844026,-0.560577,-0.697776,0,8.9310,48,119
101,-0.72,-5522.41,-83.672879,0.860410,-0.370463,-0.720855,0,14.6947,66,79
2,-0.74,-4207.20,-91.460870,0.848240,-0.372086,-0.744131,0,10.7540,46,171
77,-0.77,-5269.66,-109.784583,0.828580,-0.434261,-0.771913,0,11.9686,48,116
97,-0.79,-5573.13,-116.106875,0.817948,-0.548020,-0.793293,0,9.7759,48,139
113,-0.81,-8056.55,-99.463580,0.837421,-0.389261,-0.808519,0,19.5286,81,44
52,-0.86,-14150.60,-84.734132,0.833642,-0.640843,-0.857924,0,21.8458,167,6
68,-0.89,-6177.49,-128.697708,0.815109,-0.503053,-0.886405,0,11.6468,48,164
78,-0.89,-8366.92,-123.042941,0.808567,-0.455741,-0.893416,0,17.7624,68,54
63,-0.94,-6125.13,-125.002653,0.808517,-0.546628,-0.935379,0,11.0829,49,105
33,-0.94,-5729.56,-124.555652,0.804051,-0.447218,-0.944772,0,12.1840,46,172
13,-1.11,-10323.66,-154.084478,0.769102,-0.562697,-1.105160,0,17.6772,67,56
55,-1.23,-10645.78,-152.082571,0.731697,-0.627030,-1.230756,0,16.9375,70,66
92,-1.25,-9456.85,-145.490000,0.772891,-0.503332,-1.252719,0,18.5183,65,77
30,-1.28,-8429.70,-175.618750,0.727806,-0.617807,-1.275711,0,13.4577,48,114
6,-1.30,-9015.81,-191.825745,0.734157,-0.778851,-1.297761,0,11.3589,47,161
12,-1.32,-12055.95,-172.227857,0.730478,-0.650844,-1.322117,0,18.0706,70,59
84,-1.41,-9707.08,-154.080635,0.755419,-0.541375,-1.414872,0,17.6754,63,75
32,-1.42,-13391.77,-191.311000,0.714589,-0.653735,-1.417545,0,19.9841,70,57
25,-1.44,-12895.19,-189.635147,0.717776,-0.663421,-1.443656,0,18.7363,68,51
