Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpPeriod
119,-1.83,-12681.67,-253.633400,0.619030,-0.713406,-1.831140,0,17.5328,50,109
13,-1.85,-15939.86,-231.012464,0.641570,-0.769667,-1.845311,0,20.7101,69,61
7,-1.89,-13053.78,-290.084000,0.629050,-0.894815,-1.894029,0,14.4095,45,154
25,-1.90,-15778.79,-222.236479,0.637776,-0.725549,-1.898275,0,21.6953,71,68
45,-2.01,-16743.32,-235.821408,0.621937,-0.739179,-2.005539,0,22.5971,71,69
6,-2.19,-14502.07,-315.262391,0.583956,-0.834256,-2.194017,0,16.9442,46,150
91,-2.35,-15862.72,-352.504889,0.561146,-0.911816,-2.354044,0,17.1822,45,153
113,-2.45,-16901.68,-352.118333,0.542726,-0.828915,-2.450361,0,19.7566,48,149
53,-2.59,-17482.12,-349.642400,0.533246,-0.834642,-2.593953,0,20.2994,50,147
62,-2.83,-19257.68,-363.352453,0.506979,-0.871915,-2.825276,0,21.5363,53,145
